cart_id,user_id,cart_created_date
1,1,2024-6-26
2,2,2024-12-17
3,3,2023-1-17
4,4,2023-4-28
5,5,2024-10-9
6,6,2024-6-7
7,7,2023-7-1
8,8,2024-3-27
9,9,2022-9-18
10,10,2023-7-26
11,11,2024-8-29
12,12,2024-11-9
13,13,2024-1-3
14,14,2023-1-6
15,15,2022-4-10
16,16,2022-5-15
17,17,2022-11-11
18,18,2022-3-10
19,19,2023-1-26
20,20,2024-5-16
21,21,2023-7-14
22,22,2023-2-7
23,23,2024-6-24
24,24,2022-5-24
25,25,2022-8-9
26,26,2022-4-4
27,27,2023-8-26
28,28,2022-11-13
29,29,2024-6-29
30,30,2023-5-26
31,31,2023-10-27
32,32,2022-12-11
33,33,2022-7-26
34,34,2024-2-6
35,35,2022-6-6
36,36,2023-2-19
37,37,2023-11-5
38,38,2022-6-17
39,39,2023-9-15
40,40,2024-2-28
41,41,2023-5-14
42,42,2023-12-4
43,43,2023-11-1
44,44,2024-3-24
45,45,2024-6-23
46,46,2024-1-28
47,47,2024-11-28
48,48,2023-10-6
49,49,2022-11-23
50,50,2025-1-13
51,51,2025-2-4
52,52,2024-12-29
53,53,2023-3-18
54,54,2024-9-10
55,55,2022-9-27
56,56,2025-2-24
57,57,2022-11-6
58,58,2022-12-24
59,59,2022-12-13
60,60,2023-5-19
61,61,2022-12-5
62,62,2022-5-30
63,63,2023-12-15
64,64,2023-6-22
65,65,2024-11-26
66,66,2023-1-18
67,67,2023-3-21
68,68,2023-11-29
69,69,2023-11-8
70,70,2024-1-7
71,71,2024-10-14
72,72,2024-3-18
73,73,2024-9-14
74,74,2023-7-18
75,75,2025-1-6
76,76,2024-5-7
77,77,2024-12-6
78,78,2022-7-27
79,79,2024-4-25
80,80,2022-12-29
81,81,2022-4-2
82,82,2022-7-3
83,83,2024-4-2
84,84,2022-4-17
85,85,2022-9-20
86,86,2024-9-11
87,87,2022-5-22
88,88,2024-12-22
89,89,2023-2-1
90,90,2024-12-20
91,91,2023-5-7
92,92,2023-2-13
93,93,2024-12-24
94,94,2022-5-31
95,95,2024-3-27
96,96,2024-8-1
97,97,2024-6-3
98,98,2022-7-3
99,99,2023-7-18
100,100,2024-1-11
101,101,2024-12-12
102,102,2022-4-22
103,103,2022-10-14
104,104,2024-6-4
105,105,2023-2-10
106,106,2022-9-7
107,107,2024-1-6
108,108,2022-4-18
109,109,2025-1-11
110,110,2022-6-29
111,111,2025-3-1
112,112,2023-10-29
113,113,2024-7-5
114,114,2024-10-9
115,115,2023-3-10
116,116,2024-3-6
117,117,2024-1-5
118,118,2024-11-16
119,119,2023-12-5
120,120,2023-5-7
121,121,2024-12-24
122,122,2022-12-16
123,123,2022-3-17
124,124,2023-3-28
125,125,2023-4-24
126,126,2024-5-21
127,127,2025-3-8
128,128,2023-2-28
129,129,2025-1-29
130,130,2022-8-2
131,131,2023-11-30
132,132,2023-1-16
133,133,2022-10-9
134,134,2022-10-17
135,135,2023-8-27
136,136,2024-9-11
137,137,2025-3-1
